# Start date: 20240415
# End date: 20240512
Event name,Event count,Total users,Event count per user,Total revenue
screen_view,16112445,551868,29.852566264122697,0
user_engagement,14069750,538029,26.150542071152298,0
session_start,1668022,551218,3.098817151763869,0
notification_receive,1644798,279378,19.187359285139344,0
notification_dismiss,990818,209737,24.417615456651387,0
biometrics_login_with_face_id,517429,147264,3.5179866876075088,0
biometrics_enable_face_id,373916,209652,1.7837971929891516,0
app_update,324730,249447,1.334870738735628,0
bottom_bar_products,263790,132355,1.993320084330157,0
biometrics_login_with_finger_print,181532,45385,4.006709779945703,0
os_update,167649,164285,1.0802891957548537,0
first_open,148258,149929,0.9888547245696296,0
biometrics_enable_finger_print,139989,70781,1.9777765219479804,0
notification_open,115684,61334,2.036224103638252,0
notification_foreground,58122,37032,1.5714169843458512,0
dynamic_link_app_open,45596,18257,2.4996436598870675,0
product_i_h_my_fam,29514,22479,1.3129587615107434,0
product_i_m_motor,28888,21344,1.3535751101115172,0
app_exception,27695,7277,4.283836040216551,0
app_remove,23243,23324,2.7892715708628346,0
cust_landing_products,14217,12060,1.1795403633950055,0
campaign__motor__sweater,11158,8893,1.254694703699539,0
motor_sweater_init,8329,6317,1.3185056197562135,0
motor_sweater_select_location,7851,5568,1.410021551724138,0
campaign__motor__mismar,7755,6565,1.1812642802741813,0
dynamic_link_first_open,7434,7388,1.0063625287667524,0
campaign__motor__sayarah_inventory,6781,5651,1.2003894494600815,0
motor_sweater_select_date,6616,3143,2.1049952274896597,0
product_i_h_parents,6615,5448,1.2142070484581498,0
product_i_h_vv,6449,4192,1.5384064885496183,0
motor_dl_renewal_init,5331,4943,1.0791497975708502,0
rating_notification_open_ios,5184,1795,2.8880222841225627,0
product_i_g_travel,5044,3341,1.509727626459144,0
motor_buy_car_collapse,4883,3032,1.6115511551155115,0
campaign__motor__tirex,4618,4136,1.1165377176015474,0
motor_istemara_renewal_init,4374,4020,1.0883304304553372,0
add_additional_vehicle_init,4173,1384,3.0151734104046244,0
motor_mismar_init,4017,3162,1.2703984819734346,0
motor_tirex_init,3398,3065,1.1090078328981723,0
